Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Residence,spradon recidence havuz cephe 2+1,2 + 1,118 m,7 Yaşında,Yüksek Giriş,"570,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",22 Eylül 2020
Daire,sahibinden bahçekent emlak konut devirli satılık 2+1 peyzaj ceph,2 + 1,106 m,2 Yaşında,3. Kat,"310,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Temmuz 2020
Daire,sahibinden 5.etap 2+1 ful tadilatlı 4. kat güney salacak sitesi,2 + 1,95 m,13 Yaşında,21 ve üzeri,"708,000","Başakşehir, Başak Mahallesi",19 Ağustos 2020
Daire,fi-side sahibinden 3+1 190 metrekare recidence 11. kat,3 + 1,190 m,Sıfır Bina,21 ve üzeri,"450,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",8 Ekim 2020
Daire,acilll satılık dubleks daire,6 + 2,190 m,1 Yaşında,21 ve üzeri,"500,000","Başakşehir, Güvercintepe Mahallesi",26 Eylül 2020
Daire,tual bahçekent satılık daire 2+1 130m2 yeni bina-tam konfor,2 + 1,130 m,1 Yaşında,Teras Katı,"850,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Daire,emlakkonut avrupark hayat yüksekkat bankasız kefilsiz faizsiz!!,1 + 1,75 m,Sıfır Bina,10. Kat,"150,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ekim 2020
Daire,emlakkonut avrupark hayat 2+1 yüksek kat banka yok!! faiz yok!!,2 + 1,135 m,Sıfır Bina,21 ve üzeri,"255,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Eylül 2020
Daire,sahibinden kiptaş kayabaşı konutlarında 3+1,3 + 1,115 m,9 Yaşında,11. Kat,"625,000","Başakşehir, Güvercintepe Mahallesi",17 Eylül 2020
Daire,bahçeşehir sofa 4+1 gölet manzaralı satılık daire,4 + 1,252 m,5 Yaşında,4. Kat,"2,000,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",21 Ağustos 2020
Daire,kardelen evleri 205m2 satılık daire,4 + 1,205 m,4 Yaşında,Ara Kat,"2,450,000","Başakşehir, Başak Mahallesi",2 Temmuz 2020
Villa,bahçeşehir bademlerde büyük bahçeli tadilatlı villa,4 + 2,350 m,20 Yaşında,Villa Katı,"2,700,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",15 Temmuz 2020
Daire,ayazma'da tapulu kısa katta 3+1 156m2 kelipir daire 1.150.000 tl,3 + 1,156 m,2 Yaşında,1. Kat,"1,150,000","Başakşehir, Ziya Gökalp Mahallesi",11 Eylül 2020
Daire,bahçekent avrupark sitesi 3+1 146 m2 satılık daire,3 + 1,146 m,2 Yaşında,1. Kat,"800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Eylül 2020
Villa,sahibinden bahcesehirde toros villa...muhtesem konum...,6 + 2,450 m,15 Yaşında,2. Kat,"4,650,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",25 Temmuz 2020
Daire,bahçeşehir gül sitesinde tadilatlı c tipi 3+1 satılık daire,3 + 1,130 m,19 Yaşında,21 ve üzeri,"850,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,bahçeşehir fi side acil satılık 2+1 120 m2 daire,2 + 1,120 m,Sıfır Bina,1. Kat,"250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",31 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık daire,2 + 1,125 m,15 Yaşında,Villa Katı,"435,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",3 Eylül 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,Villa Katı,"1,750,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Eylül 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,420 m,15 Yaşında,Villa Katı,"2,250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",30 Ağustos 2020
Villa,bahçeşehir 2.kısım boğazköy'de satılık villa...polat emlak'dan,5 + 2,360 m,15 Yaşında,2. Kat,"1,350,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",25 Ağustos 2020
Villa,eşyalı lüx satılık villa,5 + 2,360 m,11 Yaşında,Villa Katı,"3,600,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ekim 2020
Daire,bahceşehir manavgat bloklarda havuz manzaralı 3 odalı daire,3 + 1,220 m,20 Yaşında,Villa Katı,"1,575,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",24 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,17 Yaşında,Villa Katı,"1,395,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım dublex 5+1 terasev,5 + 1,420 m,17 Yaşında,Villa Katı,"1,350,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Eylül 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,4 + 2,360 m,15 Yaşında,Villa Katı,"2,250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",30 Ağustos 2020
Daire,sahibinden - tual bahçekent - hayat park cephe-satılık 1+1 daire,1 + 1,77 m,Sıfır Bina,Villa Katı,"420,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",8 Eylül 2020
Daire,bahcesehırde keyıflı bahçe katı 3+1 satılık daıre,3 + 1,234 m,11 Yaşında,Villa Katı,"800,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",2 Eylül 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım'da triplex 5+1 terasev,5 + 1,400 m,15 Yaşında,Villa Katı,"1,450,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",3 Eylül 2020
Villa,bahçeşehir 2.kısım boğazköy'de satılık villa...polat emlak'dan,5 + 2,420 m,15 Yaşında,Giriş Katı,"2,150,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",25 Ağustos 2020
Daire,bahçekent flora c 1 blok'da iki cepheli 155 m2 satılık 3+1 daire,3 + 1,155 m,3 Yaşında,6. Kat,"915,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",23 Ağustos 2020
Daire,park mavera 3 2+1yemek odalı satılık lüks daire,2 + 1,135 m,1 Yaşında,9. Kat,"1,155,000","Başakşehir, Kayabaşı Mahallesi",16 Eylül 2020
Daire,bahçekent avrupark sitesi büyük adada vadi manzaralı 3+1 satılık,3 + 1,155 m,1 Yaşında,4. Kat,"850,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Eylül 2020
Daire,acill sahibinden fi-side 2+1 ara kat daire,2 + 1,120 m,Sıfır Bina,11. Kat,"425,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",31 Ağustos 2020
Daire,butik bir sitede dublex,3 + 1,175 m,15 Yaşında,Yüksek Giriş,"800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",13 Eylül 2020
Daire,başakşehir 1.etap sitede 68m2 2+1 6.kat 420 000t acil satılık,2 + 1,68 m,10 Yaşında,6. Kat,"420,000","Başakşehir, Başakşehir Mahallesi",11 Ağustos 2020
Daire,evvel ist satılık 3+1 daire peyzaj man süper koınum 158 m2,3 + 1,158 m,5 Yaşında,6. Kat,"1,185,000","Başakşehir, Kayabaşı Mahallesi",11 Eylül 2020
Daire,park mavera 3 satılık 5+1 daire boş botanik ve peyzaj manzara,5 + 1,220 m,Sıfır Bina,9. Kat,"2,700,000","Başakşehir, Kayabaşı Mahallesi",23 Eylül 2020
Daire,kayabaşi 7. bolgede b blok ta,2 + 1,85 m,14 Yaşında,15. Kat,"525,000","Başakşehir, Kayabaşı Mahallesi",29 Ağustos 2020
Daire,bahceşehir spardon kullelerde 4+1 net 150 m2 satılık daire,4 + 1,170 m,5 Yaşında,Villa Katı,"1,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",18 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,7. Kat,"1,375,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",13 Eylül 2020
Daire,ayazma emlak konut 36 parsel'de 7. kat 165m2 3+1 satılık daire,3 + 1,165 m,1 Yaşında,2. Kat,"1,250,000","Başakşehir, Ziya Gökalp Mahallesi",10 Temmuz 2020
Daire,bahçeşehir loca 3+1 170 m2 panoramik manzaralı satılık daire,3 + 1,215 m,7 Yaşında,6. Kat,"1,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",24 Ağustos 2020
Daire,"kayaşehir de satılık 2+1daire 85 m2 -455,000tl",2 + 1,85 m,9 Yaşında,12. Kat,"455,000","Başakşehir, Kayabaşı Mahallesi",30 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,Villa Katı,"2,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Ağustos 2020
Daire,"sahibinden, hisar sitesi, (3+1)",3 + 1,150 m,11 Yaşında,Yüksek Giriş,"1,050,000","Başakşehir, Başak Mahallesi",9 Temmuz 2020
Daire,"bahçeşehir havuzlu,manavgat da full tadilatlı 3+1 satılık daire",3 + 1,175 m,19 Yaşında,8. Kat,"1,420,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,bahçeşehir funda c tipi tadilatlı bakımlı 3+1 satılık daire,3 + 1,150 m,20 Yaşında,13. Kat,"790,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",18 Ağustos 2020
Daire,başakşehir 5.etap metro yanı emirgan sitesi 2+1 satılık daire,2 + 1,90 m,16 Yaşında,7. Kat,"630,000","Başakşehir, Başak Mahallesi",15 Haziran 2020
Daire,bahçeşehir b tipi kısa katlı bloklarda 3+1 satılık daire,3 + 1,136 m,20 Yaşında,1. Kat,"850,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",31 Ağustos 2020
Daire,başakşehir yeditepe sitesi 85m2,2 + 1,90 m,14 Yaşında,En Üst Kat,"528,000","Başakşehir, Başak Mahallesi",21 Ağustos 2020
Villa,country tarzı dekor.. havuz.. müstakil bahçeli.. lüx köşe villa,4 + 2,360 m,15 Yaşında,Villa Katı,"2,400,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,1. Kat,"1,750,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",30 Ağustos 2020
Daire,kayabaşı kiptaş konutlarında satılık 2+1 daire...,2 + 1,75 m,8 Yaşında,Villa Katı,"385,000","Başakşehir, Güvercintepe Mahallesi",31 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 1,380 m,15 Yaşında,Villa Katı,"4,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",1 Eylül 2020
Villa,hiç oturulmamış değerli mülk,7 + 22,360 m,11 Yaşında,Villa Katı,"1,550,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",21 Eylül 2020
Daire,evvel istanbul 3 cepheli 3+1,3 + 1,165 m,3 Yaşında,Yüksek Giriş,"1,375,000","Başakşehir, Kayabaşı Mahallesi",6 Ekim 2020
Daire,vaditepe sitesinde sahibinden satilik temiz ve bakimli 2+1,2 + 1,118 m,4 Yaşında,Villa Katı,"780,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",26 Eylül 2020
Villa,başakşehir 4.etap müstakil bahçeli satılık villa,5 + 2,330 m,17 Yaşında,6. Kat,"3,750,000","Başakşehir, Başak Mahallesi",10 Ağustos 2020
Villa,polat emlak'dan...bahçeşehir 2.kısım boğazköy'de satılık villa,5 + 2,360 m,15 Yaşında,Villa Katı,"1,310,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Ağustos 2020
Daire,bahçeşehir mesa kirazlıbahçe havuzlu sitede 4+1 satılık daire,4 + 1,187 m,12 Yaşında,17. Kat,"1,250,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",7 Ağustos 2020
Daire,bahçeşehir gül d tipi 2+1 satılık manzaralı daire,2 + 1,125 m,25 Yaşında,17. Kat,"850,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",2 Ekim 2020
Daire,spradon vadi satılık 1+1 daire,1 + 1,72 m,1 Yaşında,11. Kat,"405,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",24 Ağustos 2020
Daire,"bahçeşehir merkez caddeye cephe işyeri, konut 3+1 satılık daire",3 + 1,130 m,19 Yaşında,1. Kat,"975,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",4 Ağustos 2020
Villa,"satılık bahçeşehir çınar villa a tipi 4+1, teraslı, 3 banyo",4 + 1,240 m,26 Yaşında,Villa Katı,"2,900,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",13 Ağustos 2020
Daire,"bahçeşehir merkezi akasya da ikiz, kr tipi satılık villa..",3 + 2,290 m,20 Yaşında,1. Kat,"2,150,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",10 Ağustos 2020
Daire,kayaşehir 11.bölge tadilatlı 2+1 daire,2 + 1,70 m,10 Yaşında,Villa Katı,"436,000","Başakşehir, Kayabaşı Mahallesi",16 Ağustos 2020
