Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Villa,bahçeşehir 2.kısım boğazköy satılık villa .. finansman'dan,4 + 2,400 m,15 Yaşında,Villa Katı,"1,350,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,bahçeşehir sofa 3+1 gölet manzaralı büyük balkonlu satılık daire,3 + 1,198 m,5 Yaşında,6. Kat,"1,875,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",21 Ağustos 2020
Villa,bahçeşehir mabeyn bahçeşehir 7+2 a tipi asansörlü satılık villa,7 + 2,456 m,1 Yaşında,Villa Katı,"4,500,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Eylül 2020
Daire,bahçeşehir vaditepe kiptaş-2 evlerinde manzaralı güvenlikli 3+1.,3 + 1,140 m,1 Yaşında,7. Kat,"675,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ağustos 2020
Daire,bahçeşehir spradon vadi evleri'nde peyzaj cepheli satılık 2+1,2 + 1,105 m,6 Yaşında,2. Kat,"630,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",30 Eylül 2020
Villa,geniş ve müstakil bahçeli.. triplex.. sıfır villa.. finansman,4 + 2,270 m,15 Yaşında,Villa Katı,"2,250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Ağustos 2020
Daire,emlakkonut semt bahçekent yüksek kat devirli banka yok faiz yok!,1 + 1,67 m,Sıfır Bina,7. Kat,"165,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Ekim 2020
Villa,istanbul bahçeşehir satılık havuzlu forleks villa,5 + 2,361 m,19 Yaşında,8. Kat,"2,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,ağaoğlu my world europe 3+1 169m2 full tadilatlı fırsat daire,3 + 1,169 m,8 Yaşında,2. Kat,"1,400,000","Başakşehir, Ziya Gökalp Mahallesi",2 Ekim 2020
Daire,bahçeşehir manavgat 2+1 balkonlu manzaralı satılık daire,2 + 1,130 m,20 Yaşında,13. Kat,"915,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",30 Eylül 2020
